,ds,y
0,2010-01-01,2634.1875546038546
1,2010-02-01,2240.2861942476034
2,2010-03-01,2113.626353087443
3,2010-04-01,2136.6927915632755
4,2010-05-01,2127.280637153496
5,2010-06-01,2758.159008710079
6,2010-07-01,3694.497524630542
7,2010-08-01,3556.038689710611
8,2010-09-01,2744.3156831042847
9,2010-10-01,2283.385117029863
10,2010-11-01,2273.5847741935486
11,2010-12-01,2307.411148867314
12,2011-01-01,5148.29
13,2012-01-01,2073.226727664155
14,2012-02-01,1792.291709039548
15,2012-03-01,1786.660872133426
16,2012-04-01,1602.4140211820977
17,2012-05-01,1614.2580639673358
18,2012-06-01,2260.0661593462714
19,2012-07-01,3202.520053926525
20,2012-08-01,2899.9198281092017
21,2012-09-01,2538.3773317631226
22,2012-10-01,1844.837800941493
23,2012-11-01,1615.2836287625416
24,2012-12-01,1837.1906655518394
25,2013-01-01,1808.0146545454545
26,2013-02-01,1752.2413043478261
27,2013-03-01,1483.5973392743474
28,2013-04-01,1383.1588768564357
29,2013-05-01,1379.8926915945613
30,2013-06-01,2005.2320061919504
31,2013-07-01,2790.3064607782585
32,2013-08-01,2173.7361203703704
33,2013-09-01,2213.8961275415895
34,2013-10-01,1483.8712473052049
35,2013-11-01,1409.9897692774741
36,2013-12-01,1632.9181296068796
37,2014-01-01,1585.1001013513512
38,2014-02-01,1540.3478499234304
39,2014-03-01,1415.4868077873916
40,2014-04-01,1313.9870559903673
41,2014-05-01,1315.4161514966404
42,2014-06-01,1853.98442627914
43,2014-07-01,2251.490658718331
44,2014-08-01,2025.6478788782817
45,2014-09-01,2059.4863092417063
46,2014-10-01,1376.7107104477611
47,2014-11-01,1356.818513432836
48,2014-12-01,1551.6032796180243
49,2015-01-01,1532.622383093525
50,2015-02-01,1391.2299820035992
51,2015-03-01,1049.9911064467765
52,2015-04-01,1027.6959120813397
53,2015-05-01,1136.3767692767483
54,2015-06-01,1422.0222346698113
55,2015-07-01,1727.0551443724219
56,2015-08-01,1983.108267530937
57,2015-09-01,1768.9119740718916
58,2015-10-01,1114.8981992337165
59,2015-11-01,1130.0433667157586
60,2015-12-01,1147.0723917525772
61,2016-01-01,1197.5555820807544
62,2016-02-01,1112.5015395937592
63,2016-03-01,891.8083848190645
64,2016-04-01,926.2143619216033
65,2016-05-01,863.5331069958847
66,2016-06-01,1300.2414618331861
67,2016-07-01,1745.0246355857187
68,2016-08-01,1751.1461917404129
69,2016-09-01,1564.0303155411382
70,2016-10-01,1029.9860707964601
71,2016-11-01,949.420970787843
72,2016-12-01,1004.2616725663717
73,2017-01-01,1194.8412488660417
74,2017-02-01,1057.220178517398
75,2017-03-01,1070.2318360556565
76,2017-04-01,976.8365739340792
77,2017-05-01,986.4137235329704
78,2017-06-01,1355.1393889398105
79,2017-07-01,1931.8103910785212
80,2017-08-01,1702.7789015384615
81,2017-09-01,1430.4899163568773
82,2017-10-01,1268.113420803035
83,2017-11-01,1072.2455689022356
84,2017-12-01,1156.3031692195477
85,2018-01-01,0.0
86,2019-01-01,1066.926001259446
87,2019-02-01,1043.4412817258883
88,2019-03-01,924.8463336504917
89,2019-04-01,898.5900669002867
90,2019-05-01,910.940888252149
91,2019-06-01,1180.6590732484078
92,2019-07-01,1620.0828562340967
93,2019-08-01,1684.2626470588234
94,2019-09-01,1360.2051860533254
95,2019-10-01,996.9822460364063
96,2019-11-01,907.8473920756949
97,2019-12-01,1039.7197713776723
98,2020-01-01,879.9813382679497
99,2020-02-01,875.9412644701692
100,2020-03-01,806.7195118343196
101,2020-04-01,818.2670333727111
102,2020-05-01,802.502376905041
103,2020-06-01,1138.9054582843714
104,2020-07-01,1501.773161138832
105,2020-08-01,1504.2646158375037
106,2020-09-01,1342.2778786093106
107,2020-10-01,895.968402349486
108,2020-11-01,855.9676455026455
109,2020-12-01,965.6494281524926
110,2021-01-01,1059.2719242068156
111,2021-02-01,943.5173501762632
112,2021-03-01,892.7789868228404
113,2021-04-01,918.9465729349737
114,2021-05-01,866.0859407971864
115,2021-06-01,1203.3147371512482
116,2021-07-01,1505.5538520258367
117,2021-08-01,1547.9750526932085
118,2021-09-01,1364.7605971896955
119,2021-10-01,994.4460187628262
120,2021-11-01,1000.1701902810305
121,2021-12-01,1007.7312503660323
122,2022-01-01,1082.3571769704072
123,2022-02-01,987.7690128361858
124,2022-03-01,939.7296573875803
125,2022-04-01,985.6708567931456
126,2022-05-01,928.3258254211332
127,2022-06-01,1186.3689864864864
128,2022-07-01,2238.419134346882
129,2022-08-01,1648.7150077615647
130,2022-09-01,1459.6564439587885
131,2022-10-01,1005.7294067258882
132,2022-11-01,958.4641891004596
133,2022-12-01,1087.9863455772113
134,2023-01-01,1558.829701309329
